totalcarbs,totalprotien,totalfat,dietID,dietname,userID
94,80,55,77,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,77
23,60,41,78,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,78
42,55,19,79,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,79
27,94,33,80,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,80
63,3,63,81,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,81
44,36,24,82,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,82
51,30,25,83,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,83
89,67,69,84,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,84
93,36,49,85,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,85
65,14,5,86,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,86
64,50,78,87,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,87
44,29,41,88,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,88
91,48,27,89,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,89
75,33,62,90,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,90
77,12,91,91,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,91
52,56,21,92,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,92
4,20,4,93,erat eros viverra eget congue eget semper rutrum nulla nunc,93
9,39,94,94,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,94
43,68,7,95,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,95
39,14,96,96,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,96
78,11,60,97,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,97
70,61,72,98,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut,98
75,64,71,99,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,99
36,86,79,100,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,100
83,71,50,101,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,101
66,85,67,102,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,102
37,32,73,103,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed,103
38,87,20,104,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam,104
76,18,22,105,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,105
31,10,20,106,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,106
29,42,67,107,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,107
23,44,95,108,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,108
47,38,53,109,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,109
30,5,6,110,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,110
44,38,89,111,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,111
44,22,49,112,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,112
86,23,95,113,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,113
77,66,28,114,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in,114
12,45,16,115,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,115
49,43,25,116,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,116
95,45,83,117,nulla sed accumsan felis ut at dolor quis odio consequat,117
33,13,30,118,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,118
47,6,90,119,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,119
26,15,2,120,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,120
74,89,62,121,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,121
79,9,64,122,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,122
41,70,89,123,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,123
65,60,43,124,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,124
48,90,68,125,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,125
45,51,25,126,felis eu sapien cursus vestibulum proin eu mi nulla ac,126
20,84,50,127,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,127
81,12,84,128,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,128
54,35,79,129,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,129
76,47,31,130,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,130
23,77,31,131,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,131
3,98,58,132,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,132
49,87,72,133,quisque ut erat curabitur gravida nisi at nibh in hac,133
78,73,55,134,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,134
65,59,96,135,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,135
99,82,48,136,luctus et ultrices posuere cubilia curae mauris viverra diam vitae,136
82,91,68,137,sit amet diam in magna bibendum imperdiet nullam orci pede,137
13,96,100,138,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,138
63,49,47,139,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,139
51,78,99,140,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,140
4,72,96,141,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,141
73,88,20,142,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,142
81,52,67,143,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,143
13,53,27,144,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,144
36,51,59,145,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,145
65,17,10,146,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et,146
36,53,86,147,vitae nisl aenean lectus pellentesque eget nunc donec quis orci,147
61,68,58,148,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,148
2,83,100,149,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,149
48,86,79,150,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,150
100,18,73,151,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,151
37,36,3,152,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,152
4,52,89,153,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,153
29,96,92,154,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,154
93,68,47,155,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,155
96,87,64,156,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,156
24,19,65,157,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,157
11,15,8,158,nunc rhoncus dui vel sem sed sagittis nam congue risus semper,158
56,84,91,159,a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,159
98,83,65,160,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet,160
83,50,13,161,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,161
49,6,6,162,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,162
2,21,84,163,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,163
56,51,6,164,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,164
95,13,33,165,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,165
56,22,97,166,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,166
30,56,15,167,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,167
89,28,93,168,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,168
24,78,65,169,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,169
7,78,75,170,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,170
93,2,2,171,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,171
48,96,96,172,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,172
6,55,40,173,etiam pretium iaculis justo in hac habitasse platea dictumst etiam,173
49,78,98,174,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,174
51,44,62,175,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,175
52,11,26,176,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,176
7,62,4,177,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,177
70,68,63,178,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,178
72,96,54,179,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,179
1,79,10,180,in consequat ut nulla sed accumsan felis ut at dolor quis,180
15,9,79,181,congue etiam justo etiam pretium iaculis justo in hac habitasse platea,181
82,46,2,182,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,182
42,30,30,183,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,183
43,6,50,184,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,184
20,1,52,185,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,185
99,99,32,186,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,186
49,74,70,187,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,187
100,52,82,188,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,188
76,30,68,189,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut,189
4,30,9,190,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,190
19,78,77,191,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,191
41,73,27,192,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,192
64,56,71,193,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,193
70,81,90,194,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,194
55,21,59,195,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,195
15,53,72,196,pede ac diam cras pellentesque volutpat dui maecenas tristique est et,196
30,69,50,197,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,197
91,94,14,198,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,198
32,56,25,199,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,199
43,21,51,200,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,200
67,87,13,201,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,201
99,87,75,202,congue risus semper porta volutpat quam pede lobortis ligula sit amet,202
49,53,11,203,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,203
47,84,82,204,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,204
99,10,28,205,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel,205
13,91,74,206,cras pellentesque volutpat dui maecenas tristique est et tempus semper,206
34,81,56,207,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede,207
35,70,30,208,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,208
40,61,64,209,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,209
92,53,29,210,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,210
95,88,30,211,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,211
51,13,98,212,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,212
93,46,11,213,platea dictumst etiam faucibus cursus urna ut tellus nulla ut,213
44,73,79,214,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,214
97,59,87,215,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,215
54,80,49,216,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,216
15,15,65,217,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,217
35,43,11,218,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,218
83,67,72,219,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,219
27,47,27,220,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,220
28,60,20,221,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,221
71,60,94,222,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,222
22,88,49,223,at velit eu est congue elementum in hac habitasse platea dictumst,223
25,42,55,224,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,224
67,68,7,225,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,225
20,51,9,226,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,226
15,31,70,227,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,227
51,80,8,228,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,228
92,38,49,229,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,229
44,21,69,230,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,230
66,68,84,231,luctus cum sociis natoque penatibus et magnis dis parturient montes,231
65,78,10,232,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,232
27,85,33,233,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,233
12,34,48,234,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,234
15,47,67,235,aliquam convallis nunc proin at turpis a pede posuere nonummy integer,235
53,70,68,236,ultrices posuere cubilia curae nulla dapibus dolor vel est donec,236
79,46,19,237,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,237
98,79,65,238,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,238
43,1,58,239,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,239
46,59,77,240,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,240
31,76,33,241,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,241
31,60,4,242,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,242
8,59,6,243,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,243
13,83,69,244,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,244
92,64,100,245,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,245
3,35,60,246,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,246
94,20,38,247,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,247
35,87,98,248,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,248
9,80,93,249,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,249
37,22,1,250,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,250
17,8,13,251,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,251
16,10,60,252,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,252
6,6,33,253,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,253
73,9,70,254,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,254
85,31,43,255,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,255
66,2,6,256,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,256
62,7,15,257,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,257
57,29,88,258,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,258
80,78,36,259,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,259
88,14,89,260,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,260
96,45,67,261,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,261
97,8,40,262,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,262
64,19,84,263,phasellus sit amet erat nulla tempus vivamus in felis eu sapien,263
67,47,15,264,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia,264
10,62,69,265,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,265
77,41,20,266,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,266
70,93,6,267,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,267
68,89,10,268,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,268
67,51,100,269,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,269
