foodID,dietID,foodName,logdate,mealNum,servings
829,72,leo maecenas pulvinar,2022-11-29 21:38:12,5,56.17
223,73,libero nullam,2023-03-08 10:07:50,4,24.53
45,74,nulla,2023-03-03 01:46:07,1,50.69
444,75,quam a odio in hac,2022-12-10 23:34:22,2,7.55
7,76,justo lacinia,2022-07-26 08:04:18,3,23.01
243,77,libero,2022-09-24 20:36:23,3,85.11
506,78,tristique est et tempus,2022-10-15 04:09:51,1,97.34
871,79,quis justo,2023-03-29 15:23:39,1,18.97
348,80,neque libero convallis,2022-11-23 14:09:08,4,28.82
400,81,eget vulputate ut,2023-01-09 03:27:17,5,53.29
582,82,faucibus cursus urna,2022-05-03 19:08:42,3,90.47
626,83,tellus nisi eu orci mauris lacinia,2022-09-26 09:11:24,2,87.43
866,84,mauris viverra,2022-07-22 11:01:53,2,39.09
688,85,quisque ut erat curabitur gravida,2023-04-13 16:38:53,4,47.8
360,86,dui nec nisi volutpat eleifend donec,2022-09-16 05:07:43,5,93.93
132,87,lacus,2022-12-25 05:55:46,3,75.69
125,88,dui vel nisl,2022-06-10 22:37:01,4,54.02
876,89,vivamus vel,2022-07-28 06:58:47,2,5.03
780,90,luctus,2022-12-10 16:10:19,1,56.73
785,91,eget congue eget semper rutrum nulla,2022-07-09 22:37:25,1,7.44
126,92,tempus vivamus,2023-03-07 12:24:22,4,67.64
613,93,integer ac leo pellentesque ultrices mattis,2022-09-02 06:42:13,2,68.61
357,94,donec dapibus,2023-01-29 12:05:38,2,27.18
257,95,primis in faucibus orci,2022-07-11 21:28:18,2,83.34
802,96,tristique fusce congue diam id,2022-10-23 09:54:39,2,56.64
885,97,at turpis a pede posuere nonummy,2022-07-24 07:45:58,5,23.53
863,98,nibh in,2022-06-16 19:56:37,2,9.97
879,99,curae nulla dapibus dolor vel est,2022-11-29 15:53:30,4,3.89
558,100,odio in hac habitasse platea dictumst,2022-08-21 07:12:32,5,28.87
498,101,id sapien in,2023-01-13 09:30:27,2,6.07
277,102,dapibus duis,2022-05-06 00:55:59,3,8.58
992,103,vestibulum eget,2022-10-30 04:07:57,1,91.78
848,104,orci luctus et,2023-01-11 00:03:25,4,7.03
76,105,ultrices erat tortor sollicitudin,2022-11-26 10:24:17,5,79.6
741,106,pede morbi porttitor lorem,2022-06-28 02:33:36,1,98.78
284,107,arcu sed augue aliquam,2023-01-02 14:34:56,4,67.29
536,108,sapien non mi integer ac neque,2022-12-12 07:48:15,1,95.41
305,109,in felis donec,2022-10-20 00:20:35,3,29.55
523,110,augue vel accumsan tellus,2022-12-20 02:43:49,4,86.94
104,111,at lorem integer tincidunt ante,2022-12-22 07:23:13,5,32.26
938,112,leo rhoncus sed,2022-10-27 22:51:05,3,88.33
853,113,habitasse platea dictumst morbi vestibulum velit,2022-06-23 14:27:18,3,16.17
424,114,erat nulla,2023-02-12 18:49:25,5,28.69
843,115,ultrices vel augue,2023-03-19 11:02:34,2,95.51
408,116,ut,2022-12-19 12:47:30,1,12.36
747,117,eget,2022-07-24 00:45:56,3,23.24
310,118,ipsum integer,2022-10-03 01:04:35,4,54.99
959,119,sit amet sapien dignissim vestibulum,2022-10-28 19:36:33,4,58.48
579,120,sit amet,2022-07-08 20:19:52,1,95.36
947,121,lectus vestibulum quam sapien,2022-09-17 23:38:45,2,31.26
937,122,ultrices,2022-05-21 06:09:03,3,7.95
406,123,nunc nisl duis bibendum felis sed,2023-01-15 15:19:22,2,74.37
45,124,nulla,2023-04-07 03:13:11,5,86.1
829,125,leo maecenas pulvinar,2023-01-23 04:06:35,1,87.26
967,126,pellentesque viverra,2022-10-07 21:49:52,4,93.4
59,127,vivamus tortor,2022-05-03 10:40:42,1,7.55
598,128,ac consequat metus,2022-07-26 16:27:18,1,83.13
422,129,pellentesque ultrices phasellus id sapien,2022-05-31 23:51:42,1,20.39
676,130,eget congue eget,2022-06-27 07:40:33,1,63.59
869,131,vestibulum sagittis sapien cum sociis,2023-03-16 18:18:36,2,32.14
818,132,massa quis augue luctus tincidunt,2022-05-10 01:52:31,2,70.36
492,133,consequat ut nulla sed,2023-02-21 15:19:56,4,39.97
754,134,elementum,2022-04-21 10:50:56,2,5.57
752,135,morbi ut odio,2022-08-16 04:32:51,3,33.08
787,136,sit amet erat,2022-06-05 15:57:38,1,66.23
351,137,integer,2023-01-15 14:13:26,3,33.13
675,138,pellentesque,2022-12-15 12:33:24,2,21.15
8,139,rutrum,2023-03-06 19:29:26,1,67.15
13,140,vel dapibus at diam nam,2023-01-08 11:20:15,5,68.07
162,141,turpis eget elit sodales,2022-05-29 18:37:31,5,3.1
415,142,volutpat convallis morbi odio odio elementum,2023-03-27 00:30:23,3,22.0
3,143,lacinia nisi,2022-09-13 00:02:03,2,72.75
824,144,ac diam cras,2022-10-01 21:14:43,3,58.8
429,145,vulputate elementum nullam varius nulla facilisi,2022-06-02 08:28:16,4,54.5
995,146,lacus at turpis donec posuere,2022-11-10 09:11:50,5,30.05
171,147,vulputate vitae,2022-12-01 01:33:16,3,45.15
375,148,ut massa quis augue luctus tincidunt,2022-05-01 19:39:33,2,63.38
794,149,potenti in eleifend,2022-05-22 23:59:38,3,86.15
696,150,donec quis orci eget orci vehicula,2023-03-06 12:15:30,1,54.26
648,151,nulla quisque arcu libero rutrum,2022-07-22 18:54:28,4,9.82
602,152,mollis molestie lorem quisque,2022-12-23 08:48:03,2,54.33
246,153,eu,2022-06-14 12:21:10,1,85.21
651,154,venenatis lacinia aenean,2022-09-07 13:22:05,4,4.19
786,155,suscipit nulla,2022-07-26 05:04:39,2,56.29
810,156,primis in faucibus,2022-12-16 05:17:41,2,52.13
98,157,eget semper rutrum nulla nunc purus,2022-05-05 04:05:13,5,31.3
971,158,molestie sed justo pellentesque,2023-03-21 09:43:22,4,38.94
714,159,justo aliquam quis turpis,2023-04-07 09:13:53,3,82.1
424,160,erat nulla,2022-05-16 02:07:58,1,40.94
411,161,est congue elementum in hac,2022-11-08 23:48:16,2,10.43
138,162,cubilia curae nulla,2023-02-25 06:57:59,4,51.08
481,163,eget congue eget,2022-09-25 02:44:59,5,41.97
934,164,lorem quisque ut erat curabitur gravida,2022-11-13 09:00:33,2,35.73
750,165,varius ut blandit non interdum,2022-08-23 02:46:06,1,13.25
464,166,sodales sed tincidunt eu felis fusce,2022-11-23 06:13:32,4,82.66
298,167,et eros vestibulum ac est lacinia,2022-04-23 04:16:00,5,57.97
797,168,sapien non mi integer ac,2022-05-31 15:53:08,5,35.98
908,169,sapien quis libero nullam sit amet,2022-09-13 07:08:20,5,15.99
805,170,rutrum neque aenean,2022-08-03 15:18:20,5,72.56
162,171,turpis eget elit sodales,2023-02-12 03:41:08,2,75.56
442,172,lorem,2022-09-03 23:10:58,1,48.61
550,173,sagittis nam congue risus semper porta,2023-03-05 02:29:03,5,76.91
382,174,lacinia nisi venenatis tristique fusce congue,2022-05-27 05:17:08,4,69.84
184,175,elit proin interdum mauris non,2022-04-19 16:12:56,3,32.45
994,176,id pretium iaculis diam,2023-02-13 11:37:45,2,52.97
32,177,dolor morbi,2022-06-12 09:48:49,1,38.44
494,178,in lacus curabitur,2022-10-02 09:28:06,4,52.46
817,179,ac,2022-06-24 05:08:34,5,7.94
471,180,tellus in sagittis dui vel nisl,2023-01-24 10:57:30,5,33.35
4,181,adipiscing elit,2022-06-17 19:22:46,1,53.32
965,182,mauris viverra diam,2022-11-23 02:36:45,4,99.56
431,183,rutrum neque,2023-02-25 09:21:19,5,13.51
660,184,tincidunt eu felis fusce posuere,2022-12-06 16:32:05,3,12.07
976,185,diam in magna bibendum,2023-03-27 10:35:43,3,19.6
450,186,ipsum primis in,2022-10-23 15:54:30,2,83.39
130,187,dui luctus,2022-07-18 12:12:06,1,45.88
637,188,blandit nam nulla integer pede justo,2022-12-17 02:22:18,3,13.68
635,189,turpis,2022-05-20 10:27:32,2,25.1
137,190,praesent id,2022-11-19 12:30:15,1,72.78
371,191,massa,2022-08-22 06:33:32,1,19.35
845,192,integer,2022-09-23 11:23:29,1,61.51
45,193,nulla,2022-11-19 15:50:43,1,24.73
96,194,morbi vel,2023-01-04 05:53:23,4,55.79
393,195,leo,2022-09-26 21:23:58,4,86.69
529,196,lobortis ligula sit,2022-06-25 05:43:27,2,14.96
662,197,venenatis non,2023-02-28 00:04:53,4,6.18
803,198,lobortis ligula sit amet eleifend,2022-05-04 11:39:05,3,40.79
833,199,nonummy,2022-10-26 15:27:18,5,33.36
572,200,vitae quam,2022-11-19 22:52:51,2,73.43
126,201,tempus vivamus,2022-09-30 17:05:45,3,65.25
501,202,nisi nam ultrices,2023-01-29 13:34:33,3,21.63
943,203,congue etiam justo etiam pretium,2022-07-27 14:26:43,3,48.28
891,204,posuere felis,2022-08-12 06:04:26,3,14.71
837,205,nec sem duis,2022-06-03 00:28:35,5,51.66
179,206,sit amet,2022-08-11 09:31:26,5,20.91
100,207,ultrices posuere cubilia curae mauris,2023-03-18 02:43:21,1,76.22
832,208,non ligula pellentesque,2022-07-09 19:27:53,4,94.29
664,209,in hac habitasse,2022-05-09 22:33:57,3,25.79
312,210,nulla sed accumsan felis ut,2023-02-02 02:43:16,4,81.47
933,211,orci nullam molestie,2022-11-15 12:51:05,2,68.74
530,212,mauris lacinia sapien quis libero,2022-07-15 12:16:58,1,53.39
51,213,erat eros viverra eget congue eget,2022-09-23 23:07:22,4,71.19
449,214,luctus et ultrices posuere cubilia curae,2022-10-04 21:34:33,1,88.71
387,215,blandit,2023-01-01 08:15:22,1,88.68
213,216,velit,2022-10-16 12:24:31,2,33.6
246,217,eu,2022-09-06 03:51:40,5,77.16
734,218,tellus nulla ut erat id,2023-03-01 02:51:57,3,31.81
752,219,morbi ut odio,2023-01-24 21:17:58,5,56.11
512,220,accumsan tellus nisi,2022-06-04 11:10:00,3,79.2
811,221,quisque erat eros viverra eget,2022-07-28 16:15:19,2,25.15
787,222,sit amet erat,2022-10-05 01:02:35,5,47.29
331,223,lacinia,2022-05-13 00:02:35,1,30.24
997,224,eget tempus vel pede,2022-09-29 00:52:15,3,90.29
928,225,luctus tincidunt nulla mollis,2022-09-07 03:29:32,2,34.06
327,226,integer a nibh in,2022-05-27 03:56:17,5,78.77
755,227,eros elementum pellentesque,2022-05-20 12:19:35,1,71.32
159,228,in hac,2022-05-03 15:23:31,4,91.55
605,229,suscipit nulla,2022-12-23 21:38:05,1,68.86
568,230,a libero nam dui proin leo,2022-06-21 02:09:40,2,70.91
20,231,laoreet ut rhoncus aliquet pulvinar,2023-01-21 06:39:33,2,52.58
781,232,accumsan odio curabitur,2022-12-21 16:34:57,5,20.89
167,233,platea dictumst morbi,2023-02-26 17:05:47,5,79.04
886,234,ultrices libero non mattis pulvinar nulla,2022-08-15 15:47:03,1,46.42
22,235,phasellus sit amet erat nulla tempus,2022-06-21 16:03:43,4,75.71
53,236,dis parturient montes nascetur ridiculus mus,2022-11-27 16:05:32,2,44.01
739,237,vulputate luctus cum,2022-12-25 13:39:54,2,80.68
13,238,vel dapibus at diam nam,2023-01-25 19:55:26,3,42.67
897,239,dolor morbi vel lectus in quam,2022-04-30 07:42:13,5,83.39
192,240,lorem quisque ut,2022-12-12 01:14:57,3,80.73
729,241,donec vitae,2022-07-21 04:35:23,1,93.46
158,242,maecenas ut,2022-05-31 08:13:51,4,82.16
623,243,pharetra magna ac,2022-08-17 22:47:57,4,64.48
468,244,orci luctus et ultrices posuere cubilia,2022-12-28 01:52:57,3,31.35
744,245,sem fusce consequat nulla nisl,2023-04-18 23:30:03,1,73.67
985,246,metus sapien ut nunc vestibulum,2022-07-17 03:22:24,5,42.13
749,247,interdum eu tincidunt in leo,2022-11-07 10:34:23,3,13.39
983,248,ornare consequat lectus in,2022-12-09 10:16:33,3,32.85
230,249,aliquet massa id,2022-10-15 19:28:43,2,66.23
650,250,eu massa,2022-09-12 11:31:39,5,38.17
656,251,sapien non mi integer,2023-02-02 11:23:37,1,7.0
702,252,ultrices aliquet maecenas leo,2023-01-29 04:31:09,5,32.84
727,253,potenti,2023-02-04 20:37:12,2,87.94
198,254,id justo sit,2022-06-06 01:54:37,3,92.98
561,255,massa donec,2022-08-16 16:25:37,5,39.42
776,256,at velit vivamus vel nulla eget,2022-04-21 22:29:06,4,11.56
881,257,venenatis non sodales sed tincidunt,2022-08-09 07:48:03,4,83.01
865,258,natoque,2023-02-09 09:08:45,5,65.92
468,259,orci luctus et ultrices posuere cubilia,2022-08-27 10:36:12,3,51.86
578,260,a pede,2022-07-31 13:10:36,1,77.35
797,261,sapien non mi integer ac,2022-10-09 12:37:51,2,91.8
4,262,adipiscing elit,2022-06-01 02:50:23,4,35.32
392,263,molestie lorem quisque ut erat curabitur,2022-04-20 13:49:48,4,70.5
469,264,nullam,2022-11-30 11:08:50,4,70.39
138,265,cubilia curae nulla,2023-04-07 13:36:22,3,28.15
384,266,eu nibh quisque id justo,2022-07-01 08:50:09,5,95.24
521,267,erat volutpat in congue etiam justo,2022-06-14 06:57:27,4,79.41
194,268,eros suspendisse,2023-02-04 09:27:58,3,91.67
387,269,blandit,2022-07-21 13:41:01,2,31.87
715,270,donec,2022-11-05 09:23:49,1,75.16
595,271,urna,2022-08-18 18:11:45,2,65.47
817,272,ac,2023-03-09 11:22:24,1,3.94
161,273,id ornare imperdiet,2023-04-11 03:41:06,3,50.28
772,274,dapibus nulla suscipit ligula in,2023-02-03 02:10:53,2,16.74
505,275,ante ipsum,2022-06-04 03:28:37,1,65.73
958,276,commodo vulputate justo in,2022-12-03 00:04:18,1,73.09
240,277,vitae,2022-05-10 05:53:52,1,93.64
375,278,ut massa quis augue luctus tincidunt,2022-07-08 01:13:53,5,28.07
265,279,vestibulum quam,2023-03-17 16:52:28,3,49.2
18,280,tempus semper est quam,2022-11-12 08:21:36,3,65.16
251,281,posuere cubilia curae duis faucibus,2022-06-24 06:59:57,4,89.02
910,282,pede posuere nonummy integer non velit,2022-06-26 21:26:17,4,99.19
101,283,ipsum aliquam non mauris,2022-08-12 08:12:27,2,42.39
515,284,erat fermentum justo nec,2022-06-23 03:45:49,1,64.06
246,285,eu,2022-10-07 15:10:46,5,21.25
57,286,congue eget semper rutrum nulla nunc,2022-07-18 03:01:50,3,73.51
302,287,ultrices mattis odio donec vitae,2022-12-26 16:07:40,3,37.09
548,288,nulla tellus in sagittis,2022-10-03 14:13:35,3,97.32
236,289,bibendum felis sed interdum,2022-06-04 04:15:24,3,70.1
447,290,faucibus orci,2023-03-30 16:18:31,5,21.93
345,291,tristique,2022-10-22 03:06:35,5,36.57
988,292,hendrerit at vulputate vitae,2022-12-13 15:56:45,3,62.62
490,293,primis in faucibus orci,2023-03-27 11:57:26,1,36.94
296,294,dui vel nisl duis ac,2022-12-16 11:53:47,3,74.85
123,295,volutpat dui maecenas tristique,2022-09-10 19:22:28,3,76.54
464,296,sodales sed tincidunt eu felis fusce,2022-07-29 08:08:08,5,61.55
306,297,pulvinar sed nisl nunc,2022-09-18 19:13:15,1,82.6
984,298,donec ut,2022-11-16 18:41:48,4,39.49
483,299,at,2022-08-08 01:47:42,1,87.82
981,300,sagittis dui vel nisl,2022-10-03 05:41:18,1,1.5
133,301,hac habitasse platea dictumst maecenas,2022-10-20 14:44:47,2,14.3
586,302,dapibus,2022-11-24 00:31:56,1,67.53
76,303,ultrices erat tortor sollicitudin,2023-04-12 23:15:04,4,80.11
782,304,congue risus semper porta,2022-12-14 07:44:03,5,37.4
813,305,ante vestibulum ante ipsum primis,2022-09-30 11:25:21,1,73.81
73,306,vivamus tortor duis,2022-04-25 03:44:52,4,15.68
522,307,diam neque vestibulum,2022-12-21 12:17:28,5,8.45
499,308,tortor id nulla ultrices,2022-06-20 04:50:38,1,63.43
576,309,elementum nullam varius nulla,2022-10-25 06:28:12,1,8.62
520,310,eu massa,2023-02-15 22:49:54,5,47.83
922,311,et ultrices posuere cubilia,2022-06-25 11:28:06,5,46.68
365,312,condimentum neque sapien,2022-11-21 22:11:42,5,10.61
519,313,in quam fringilla rhoncus mauris,2022-12-18 14:06:41,4,99.47
214,314,suscipit ligula in,2023-01-18 15:33:20,1,17.64
561,315,massa donec,2022-08-11 00:27:11,2,39.61
308,316,massa donec dapibus,2022-11-21 04:13:52,4,57.6
631,317,sapien quis libero nullam,2022-12-10 15:58:39,2,84.73
371,318,massa,2022-11-20 09:02:53,1,17.55
141,319,nulla pede,2022-11-24 01:55:51,1,48.51
831,320,ante ipsum primis in faucibus orci,2022-05-11 05:51:29,4,11.23
896,321,luctus nec molestie sed justo pellentesque,2022-08-10 01:44:21,1,64.09
761,322,erat eros viverra eget congue eget,2022-06-12 06:38:23,4,69.56
651,323,venenatis lacinia aenean,2023-04-16 06:57:41,3,20.53
443,324,in magna bibendum imperdiet nullam orci,2022-09-17 04:57:52,4,88.71
993,325,vel augue vestibulum ante,2022-12-06 22:39:07,5,10.39
850,326,eros viverra eget congue,2023-02-18 14:19:09,5,78.78
236,327,bibendum felis sed interdum,2023-04-17 10:46:36,5,26.77
647,328,congue diam id ornare imperdiet sapien,2023-02-17 17:56:19,3,38.81
433,329,pellentesque,2022-11-15 09:07:45,3,39.36
619,330,in lectus,2022-11-13 12:31:24,2,40.72
808,331,nisi,2022-11-07 20:13:13,4,86.7
356,332,pede libero quis orci nullam molestie,2022-07-27 11:09:28,1,97.29
768,333,nullam orci pede venenatis,2023-04-08 12:42:09,1,38.49
738,334,dapibus augue vel accumsan tellus nisi,2022-11-07 07:19:03,4,53.19
407,335,potenti,2022-10-25 14:51:28,2,55.27
649,336,nulla ut,2022-12-23 08:09:27,1,49.33
136,337,consequat in consequat ut nulla,2022-08-26 01:49:52,1,24.2
355,338,orci eget orci vehicula,2022-11-03 06:27:40,3,11.35
862,339,quisque ut erat curabitur,2023-04-06 13:31:38,5,95.09
707,340,adipiscing,2022-04-24 05:31:11,2,12.7
410,341,vestibulum ante ipsum primis in faucibus,2022-09-05 16:50:21,4,72.75
928,342,luctus tincidunt nulla mollis,2022-06-29 03:52:09,2,86.01
634,343,porttitor lacus at turpis,2022-08-14 09:16:53,2,25.19
328,344,justo morbi ut odio cras mi,2023-02-14 00:38:12,4,34.35
884,345,dictumst aliquam,2022-05-30 17:23:44,3,79.02
497,346,eros viverra eget congue eget,2022-08-29 17:52:15,5,77.45
553,347,vestibulum velit id,2023-04-13 06:00:38,5,38.33
276,348,convallis,2022-07-07 21:10:17,2,36.95
335,349,odio donec vitae nisi nam ultrices,2022-08-05 00:22:35,3,6.26
530,350,mauris lacinia sapien quis libero,2022-08-27 02:30:07,1,78.81
481,351,eget congue eget,2022-09-09 07:34:18,1,94.09
191,352,pulvinar lobortis est,2022-08-30 12:30:12,3,75.23
242,353,pede ullamcorper augue a,2022-12-30 07:06:22,5,79.63
159,354,in hac,2023-02-07 15:46:25,5,90.99
935,355,et magnis dis parturient montes,2023-01-13 23:52:13,4,35.04
355,356,orci eget orci vehicula,2022-10-24 08:55:46,4,70.92
808,357,nisi,2022-05-06 15:18:59,2,9.1
170,358,potenti nullam porttitor lacus,2022-11-14 07:47:44,3,46.27
504,359,sapien,2022-10-07 10:08:46,3,52.01
147,360,luctus rutrum nulla tellus,2023-02-02 07:14:53,1,72.69
715,361,donec,2023-01-09 10:13:10,5,25.53
271,362,primis in faucibus,2022-11-21 20:57:50,1,21.48
932,363,montes nascetur ridiculus mus vivamus vestibulum,2022-07-31 01:11:19,4,80.3
535,364,odio,2022-12-14 03:09:53,2,13.48
881,365,venenatis non sodales sed tincidunt,2022-04-24 20:25:11,3,49.13
908,366,sapien quis libero nullam sit amet,2023-02-22 05:49:28,3,50.44
853,367,habitasse platea dictumst morbi vestibulum velit,2022-07-12 08:38:02,5,2.78
250,368,dui maecenas tristique est et,2023-02-09 20:37:41,1,9.09
111,369,dapibus duis at velit,2022-06-07 04:11:49,4,89.28
706,370,vestibulum sagittis sapien,2022-08-10 13:03:50,4,60.52
784,371,in,2022-10-09 04:51:02,1,88.57
587,372,elementum eu interdum,2023-02-27 16:41:57,1,22.94
559,373,metus vitae ipsum aliquam non mauris,2023-03-31 10:26:37,3,53.31
276,374,convallis,2022-10-10 17:47:03,4,16.61
742,375,in ante vestibulum ante ipsum primis,2023-02-15 13:20:13,2,35.74
9,376,rutrum,2022-11-19 09:56:09,3,79.77
467,377,ut tellus nulla,2023-01-20 13:48:14,4,76.7
858,378,turpis eget elit,2022-12-08 05:19:26,5,71.69
175,379,at nunc commodo placerat,2022-08-03 06:53:27,4,47.64
779,380,quisque erat eros viverra eget,2022-05-27 00:53:56,5,29.54
346,381,aenean fermentum donec ut mauris,2022-07-23 18:04:59,1,44.98
426,382,sed ante vivamus tortor duis mattis,2022-11-24 22:44:06,2,38.96
551,383,ut erat curabitur gravida nisi,2023-02-15 02:04:55,1,39.24
29,384,lorem integer tincidunt ante vel,2022-06-07 00:06:48,3,45.52
442,385,lorem,2022-10-26 00:37:27,4,31.58
168,386,ac diam cras pellentesque volutpat dui,2022-07-25 00:09:01,1,64.57
305,387,in felis donec,2022-06-27 06:30:23,5,77.3
317,388,ac tellus,2022-05-28 12:26:21,5,46.08
172,389,proin leo odio porttitor id,2023-03-14 20:13:04,2,62.3
374,390,pretium iaculis diam erat fermentum justo,2023-03-13 00:54:33,2,59.13
399,391,sapien ut nunc vestibulum ante,2022-08-12 11:45:47,1,18.46
821,392,molestie sed justo pellentesque viverra,2022-12-20 18:03:56,2,54.79
373,393,nisl aenean lectus pellentesque,2022-11-18 21:50:53,2,85.21
364,394,amet eleifend pede,2022-10-07 19:34:28,5,52.38
105,395,vel sem sed sagittis,2022-06-19 15:12:24,5,26.46
205,396,turpis elementum,2022-07-13 16:55:01,3,66.06
448,397,tortor sollicitudin,2022-05-03 00:04:06,4,94.3
292,398,risus dapibus augue vel,2022-04-27 20:08:32,3,73.1
11,399,lacinia erat vestibulum sed magna at,2023-03-29 08:35:21,2,7.57
263,400,in ante,2023-02-26 04:35:51,3,83.31
345,401,tristique,2022-11-13 05:34:13,2,87.99
331,402,lacinia,2023-03-25 04:47:03,4,70.12
538,403,vestibulum ante ipsum primis in,2023-04-07 09:57:49,5,79.96
907,404,et ultrices posuere,2023-02-26 22:10:20,3,71.47
214,405,suscipit ligula in,2022-09-18 03:21:47,2,44.49
894,406,ac leo pellentesque ultrices mattis odio,2022-11-18 13:28:06,4,24.37
982,407,scelerisque quam turpis adipiscing,2022-10-03 16:08:44,3,94.87
452,408,lacus morbi quis,2023-01-28 00:46:30,3,92.34
583,409,libero,2022-11-06 01:38:51,4,51.33
518,410,leo pellentesque ultrices mattis odio,2023-02-06 03:27:01,2,88.52
967,411,pellentesque viverra,2022-09-27 03:21:21,3,9.11
682,412,nibh quisque id justo sit amet,2022-06-06 21:44:15,1,52.46
227,413,commodo,2023-03-23 23:38:31,4,85.56
187,414,mattis nibh ligula nec,2022-05-19 07:22:44,5,31.54
306,415,pulvinar sed nisl nunc,2022-06-25 18:07:30,1,41.2
130,416,dui luctus,2022-05-24 11:41:41,2,6.41
852,417,massa donec dapibus duis at,2022-11-21 04:19:03,2,73.42
