foodID,foodName,NumServings,unit,carbs,protein,fat
35,elementum pellentesque quisque porta,344.25,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,72,21,42
36,justo morbi ut,185.78,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,35,9,35
37,luctus et ultrices posuere cubilia curae,181.13,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,70,50,53
38,est lacinia nisi venenatis tristique fusce,372.97,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,97,4,71
39,parturient montes,371.86,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,48,29,23
40,vestibulum,76.19,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,25,66,25
41,magnis dis parturient montes,35.23,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,3,26,15
42,habitasse platea dictumst morbi vestibulum,84.21,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,26,59,82
43,pulvinar lobortis est,143.86,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,17,1,37
44,libero nullam sit,43.71,ante vestibulum ante ipsum primis in faucibus orci luctus et,46,21,45
45,vel,330.2,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,94,49,29
46,in eleifend quam a odio in,310.02,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,93,24,72
47,non pretium,148.47,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,51,10,41
48,porttitor id,132.73,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,11,71,91
49,morbi a ipsum integer,134.83,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,97,61,57
50,in consequat ut nulla,68.6,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,37,77,19
51,maecenas rhoncus aliquam lacus,161.64,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,20,51,82
52,congue elementum in hac,4.38,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,67,31,23
53,eget tincidunt eget,98.89,lectus in est risus auctor sed tristique in tempus sit,60,61,84
54,lacinia,267.38,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,65,65,48
55,in,63.64,aenean fermentum donec ut mauris eget massa tempor convallis nulla,80,68,15
56,praesent blandit lacinia erat vestibulum,250.93,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,77,38,62
57,rhoncus sed vestibulum sit,187.28,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in,36,31,51
58,nulla tellus in sagittis,340.44,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,23,36,74
59,montes nascetur ridiculus mus vivamus,51.72,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices,42,11,12
60,odio consequat varius integer ac,59.84,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,4,1,7
61,rutrum at,167.83,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,65,70,0
62,curabitur at,120.77,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,79,74,57
63,dui vel,161.57,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,56,47,14
64,turpis eget elit sodales scelerisque mauris,333.17,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,91,36,20
65,sapien in sapien,249.97,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,17,78,47
66,luctus ultricies eu,76.75,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,72,28,71
67,augue vestibulum rutrum rutrum neque aenean,96.95,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,43,69,81
68,id luctus nec,361.8,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,90,36,31
69,bibendum felis sed interdum,388.25,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,53,12,33
70,venenatis turpis,56.09,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum,88,64,28
71,sit amet sem,306.79,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,32,32,72
72,pellentesque,222.33,quis libero nullam sit amet turpis elementum ligula vehicula consequat,15,65,83
73,ullamcorper purus sit amet,351.28,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,92,90,0
74,duis,56.16,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,73,40,38
75,vestibulum eget vulputate ut ultrices,270.27,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,67,14,50
76,sociis natoque penatibus et magnis dis,128.55,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim,34,67,45
77,praesent blandit,361.4,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,10,9,4
78,odio consequat varius integer ac,170.11,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,44,4,15
79,vel nulla,143.83,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,76,25,62
80,nascetur ridiculus,357.66,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,28,83,92
81,curae duis faucibus accumsan,123.22,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,53,56,99
82,nulla,381.91,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,73,54,60
83,justo lacinia,196.43,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,3,24,91
84,turpis adipiscing lorem,152.16,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,75,28,18
85,proin,197.7,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,29,15,39
86,nulla tellus in,353.46,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,61,22,19
87,quam nec dui,203.08,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,47,30,57
88,odio donec vitae nisi,343.81,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,28,11,73
89,justo nec condimentum neque sapien,256.21,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,55,74,21
90,maecenas tristique est et,170.73,consequat in consequat ut nulla sed accumsan felis ut at dolor,32,62,37
91,nibh in,234.7,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,81,41,13
92,arcu adipiscing molestie,234.74,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,36,24,69
93,eget tempus vel pede,227.93,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,48,53,3
94,risus praesent lectus,260.21,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,7,93,41
95,integer tincidunt,196.03,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,91,5,7
96,vivamus vestibulum sagittis sapien cum sociis,195.02,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,40,32,84
97,ligula suspendisse,36.04,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,2,16,91
98,luctus et ultrices,208.43,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,95,13,63
99,fringilla,16.28,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit,56,49,2
100,fermentum donec ut mauris eget,327.34,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,65,0,52
101,mattis odio donec vitae nisi nam,181.39,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,49,22,31
102,ornare imperdiet,351.63,ac leo pellentesque ultrices mattis odio donec vitae nisi nam,72,11,27
103,lobortis ligula sit,125.96,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,6,32,93
104,eu magna vulputate luctus cum sociis,116.2,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,62,29,92
105,cum sociis natoque,309.04,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,1,67,0
106,pellentesque quisque porta volutpat,190.12,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,30,51,49
107,ac consequat metus sapien,140.09,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,14,71,58
108,integer ac neque duis bibendum morbi,113.44,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,57,63,48
109,volutpat quam pede lobortis ligula,180.67,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,84,22,13
110,aenean sit amet justo morbi,268.93,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,78,7,18
111,purus phasellus in,235.97,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,7,18,85
112,quam suspendisse potenti nullam porttitor lacus,237.29,lectus suspendisse potenti in eleifend quam a odio in hac habitasse,97,36,5
113,augue aliquam,142.09,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,80,79,27
114,primis in,79.2,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,10,32,29
115,et commodo vulputate,127.05,et eros vestibulum ac est lacinia nisi venenatis tristique fusce,16,5,71
116,morbi porttitor lorem id ligula suspendisse,260.51,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,85,71,100
117,pretium iaculis,276.15,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,46,63,100
118,amet nulla,216.74,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,41,7,26
119,tellus nulla ut erat,10.03,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,90,24,80
120,molestie,157.63,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,3,32,92
121,convallis morbi odio odio elementum,282.56,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,24,56,1
122,eu,192.17,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,38,44,32
123,nunc nisl duis bibendum,354.9,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,75,99,29
124,a libero nam dui proin leo,280.93,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,55,73,67
125,tincidunt,167.41,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,58,94,6
126,vel nisl,345.98,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,16,46,35
127,cum sociis natoque penatibus et,83.97,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,51,13,29
128,vestibulum sagittis sapien,365.72,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien,33,61,91
129,amet sapien dignissim vestibulum vestibulum,374.51,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,42,27,61
130,felis sed interdum venenatis turpis enim,379.03,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,6,52,27
131,lectus in est risus auctor,334.0,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,96,0,42
132,luctus et ultrices posuere,154.69,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,11,19,44
133,quis,293.22,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,78,15,68
134,pellentesque ultrices mattis odio donec,180.66,amet eleifend pede libero quis orci nullam molestie nibh in lectus,69,92,73
135,natoque penatibus et magnis dis,215.11,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,19,13,57
136,amet erat nulla tempus vivamus in,256.38,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,6,52,13
137,odio,288.04,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,31,78,80
138,est quam pharetra magna ac,339.86,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,39,60,52
139,lobortis vel,367.4,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,23,96,93
140,est lacinia,134.26,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,85,4,67
141,donec dapibus,278.98,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,20,90,62
142,condimentum neque sapien placerat ante nulla,230.6,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,24,33,46
143,id ligula suspendisse ornare consequat,65.42,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,19,11,97
144,morbi,319.65,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,87,79,74
145,rhoncus sed,69.2,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,18,72,24
146,nisl ut volutpat sapien arcu sed,318.79,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,5,23,22
147,vestibulum rutrum,53.23,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,54,11,63
148,at ipsum ac,285.86,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,53,88,4
149,semper rutrum nulla nunc purus phasellus,319.75,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,0,36,87
150,purus phasellus in,181.97,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,73,76,79
151,vitae quam,353.38,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,81,100,29
152,bibendum felis sed interdum venenatis,65.86,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,69,98,83
153,nisl nunc rhoncus,44.48,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,42,73,45
154,non,45.75,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,35,49,98
155,cubilia curae,184.49,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,21,99,67
156,eget congue eget semper rutrum,249.33,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac,15,2,8
157,et ultrices posuere cubilia,170.62,metus aenean fermentum donec ut mauris eget massa tempor convallis,61,77,42
158,blandit lacinia erat vestibulum sed,2.46,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,49,14,98
159,sapien in sapien iaculis congue vivamus,174.33,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,97,67,4
160,purus phasellus in felis donec,226.51,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,5,0,7
161,eu,71.96,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,18,51,44
162,amet sapien dignissim vestibulum,29.49,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,13,36,10
163,purus eu magna,151.83,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,63,99,87
164,bibendum morbi non,98.94,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,25,0,98
165,nisi,116.87,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,97,45,23
166,phasellus sit amet erat nulla tempus,198.01,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,19,97,70
167,blandit ultrices enim,239.54,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,81,97,14
168,lacus purus aliquet at feugiat non,138.19,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,85,23,89
169,in purus eu magna,279.78,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,66,94,16
170,mus vivamus,8.06,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,72,16,79
171,varius nulla facilisi cras non velit,189.25,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,1,80,92
172,ante vivamus,213.29,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,42,68,8
173,erat tortor sollicitudin mi sit,270.37,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est,25,96,13
174,amet diam in magna,164.11,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,0,60,96
175,potenti cras in purus eu,4.49,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,7,79,28
176,vel nisl duis ac nibh,39.31,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,52,3,67
177,morbi sem mauris,308.84,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,22,69,13
178,justo etiam pretium iaculis justo in,178.6,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel,57,43,60
179,tristique fusce congue,265.0,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,35,92,34
180,sodales sed tincidunt eu felis,11.07,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,20,68,92
181,tristique in tempus sit amet sem,134.29,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,18,43,65
182,dolor,62.17,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,18,99,26
183,convallis nulla,320.25,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,68,56,94
184,adipiscing,138.68,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,76,60,42
185,tempus semper est quam pharetra,238.57,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,63,89,82
186,ultrices posuere cubilia curae,325.44,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,59,55,39
187,primis in,233.5,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,29,50,26
188,quis orci nullam molestie nibh,28.01,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,86,50,58
189,neque libero convallis eget,365.32,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,93,42,11
190,nulla,250.51,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,76,40,76
191,ac leo pellentesque ultrices mattis odio,263.39,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,68,33,28
192,tempus semper est quam pharetra magna,329.21,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna,38,68,34
193,sapien varius ut blandit non,289.1,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,8,69,98
194,nisl duis,42.55,libero ut massa volutpat convallis morbi odio odio elementum eu,10,30,18
195,ac lobortis vel dapibus at diam,18.57,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,2,65,43
196,turpis a,121.41,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,15,65,58
197,nisi volutpat,180.61,nisi eu orci mauris lacinia sapien quis libero nullam sit amet,77,65,56
198,ut ultrices,17.7,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,60,60,56
199,elementum nullam varius nulla facilisi cras,315.47,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,50,72,87
200,ultrices vel augue,37.53,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,7,28,92
201,ac tellus semper interdum mauris,84.4,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,81,49,84
202,est,25.21,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,63,30,69
203,condimentum neque,365.6,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,31,64,56
204,in hac habitasse,245.71,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,68,37,66
205,eget tempus vel pede,356.13,morbi non quam nec dui luctus rutrum nulla tellus in,41,79,80
206,amet,26.18,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,52,99,61
207,arcu,8.98,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,53,10,31
208,volutpat in congue,271.78,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,25,4,59
209,in quis,393.47,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,65,22,61
210,volutpat in,249.55,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,82,39,15
211,vestibulum ante ipsum primis in faucibus,151.26,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,61,58,3
212,sollicitudin mi sit amet lobortis,161.36,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,44,22,71
213,velit id,283.23,id luctus nec molestie sed justo pellentesque viverra pede ac,17,65,36
214,congue,374.69,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,74,55,17
215,natoque penatibus et magnis dis,321.11,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,63,95,74
216,ornare imperdiet sapien,311.98,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,53,100,57
