foodID,foodName,NumServings,unit,carbs,protien,fat
50,massa id nisl venenatis lacinia,326.61,massa,26,3,71
51,vitae ipsum aliquam non,375.74,cubilia,75,77,46
52,potenti in eleifend quam a odio,47.23,nibh,10,95,37
53,faucibus orci luctus et,112.69,purus,81,84,75
54,hac habitasse platea dictumst etiam,189.85,rhoncus,3,14,17
55,posuere cubilia curae,45.79,etiam,85,97,100
56,vestibulum quam sapien varius ut blandit,35.35,nibh,43,83,49
57,congue vivamus,211.5,ipsum,47,77,20
58,feugiat et,346.99,vestibulum,60,79,12
59,sociis natoque penatibus,397.37,luctus,29,35,40
60,leo rhoncus sed,95.88,cubilia,71,16,15
61,sit amet consectetuer adipiscing,215.65,vulputate,73,69,40
62,in magna,317.51,non,15,85,59
63,penatibus et magnis dis parturient,313.73,rhoncus,82,23,20
64,justo lacinia,353.47,metus,53,28,53
65,justo sollicitudin ut,326.81,odio,17,58,83
66,cras in purus eu,200.35,mauris,21,11,1
67,ipsum,89.0,mattis,44,24,44
68,at velit vivamus vel,341.54,nulla,44,47,93
69,nisi,270.92,maecenas,19,54,6
70,vehicula condimentum,50.82,proin,43,39,74
71,integer non velit donec,248.55,tempus,71,75,84
72,magna bibendum imperdiet nullam,122.16,pede,14,4,63
73,nec molestie sed justo,258.38,ante,92,74,19
74,augue quam sollicitudin vitae consectetuer,232.02,suspendisse,73,96,40
75,viverra pede,352.58,amet,85,36,57
76,turpis sed,176.13,lacus,55,71,57
77,at diam nam tristique tortor,48.86,ut,99,10,26
78,suspendisse potenti in eleifend quam,47.56,non,84,75,94
79,libero non mattis,267.45,ipsum,98,21,94
80,aenean auctor gravida sem praesent id,344.58,faucibus,91,59,92
81,nunc proin at turpis,219.13,sagittis,63,18,31
82,sem fusce consequat,28.56,nulla,55,81,55
83,morbi,371.41,eget,83,8,79
84,mi pede malesuada in imperdiet,269.9,dolor,79,8,39
85,vel,205.57,amet,43,57,88
86,ut odio,313.7,at,92,19,96
87,semper porta volutpat,92.74,ante,28,36,61
88,luctus et,239.25,pede,32,14,75
89,vestibulum proin eu mi,149.16,vel,85,46,97
90,vestibulum ante ipsum primis in,125.73,luctus,75,4,31
91,erat id mauris vulputate elementum nullam,210.72,est,86,38,96
92,eleifend luctus,241.45,lectus,49,3,8
93,ut,201.27,ut,31,55,10
94,nisi,321.85,elementum,19,28,75
95,sed,362.19,et,85,24,0
96,integer ac leo,392.12,in,37,45,55
97,ultricies eu,278.54,leo,96,24,56
98,dapibus duis at velit eu est,302.53,quis,51,54,51
99,nullam porttitor lacus,7.0,lectus,30,68,37
100,aliquam erat volutpat in,317.7,duis,53,78,44
101,ac nibh,324.29,morbi,72,18,77
102,pellentesque at nulla suspendisse potenti,299.26,interdum,67,56,2
103,orci eget orci vehicula,327.93,consequat,21,37,32
104,et ultrices posuere cubilia curae,224.59,erat,72,70,0
105,congue eget,67.42,consectetuer,23,21,46
106,sollicitudin,241.53,donec,0,84,41
107,porttitor,18.27,curabitur,28,27,7
108,lacus curabitur at,77.49,vel,3,70,6
109,imperdiet sapien urna pretium nisl ut,229.15,dictumst,54,27,95
110,nulla facilisi cras non velit nec,312.95,non,83,46,5
111,magna,164.11,accumsan,8,9,54
112,ante vel ipsum praesent blandit,42.14,mi,13,63,66
113,velit nec nisi vulputate nonummy,375.1,commodo,90,44,98
114,non interdum in ante vestibulum ante,285.99,volutpat,61,43,100
115,lobortis vel dapibus at,381.8,ut,13,35,5
116,mattis,370.81,rhoncus,80,79,33
117,quam suspendisse potenti,66.87,enim,67,8,76
118,habitasse platea dictumst morbi,209.91,aliquet,6,74,67
119,mauris laoreet ut rhoncus,132.0,ut,67,65,20
120,nisi vulputate nonummy maecenas tincidunt lacus,155.58,sollicitudin,1,85,17
121,posuere nonummy,294.22,sed,71,66,10
122,hac habitasse,198.99,eget,93,69,42
123,metus arcu adipiscing molestie hendrerit,55.24,ut,64,13,1
124,velit nec nisi,236.49,odio,5,56,69
125,diam in magna bibendum,77.63,ligula,44,44,5
126,at nibh,336.18,nec,54,47,8
127,duis ac nibh fusce,64.62,cras,90,90,66
128,dapibus dolor vel est donec,147.27,primis,5,82,52
129,consectetuer,311.93,tempus,95,23,18
130,nulla neque libero convallis eget eleifend,258.08,nisi,82,10,67
131,lobortis vel dapibus at diam nam,32.15,lorem,1,99,7
132,sapien iaculis congue vivamus metus arcu,321.07,accumsan,44,91,65
133,est et tempus semper,123.74,luctus,58,41,34
134,ultrices erat tortor sollicitudin mi,226.41,odio,94,95,7
135,in hac habitasse platea,254.34,magna,40,59,34
136,sed augue aliquam,210.36,velit,37,62,76
137,leo odio,183.11,blandit,71,69,14
138,pulvinar sed nisl nunc rhoncus,358.39,pede,2,89,82
139,orci luctus,153.89,suscipit,48,26,81
140,eu orci mauris lacinia,221.89,amet,20,51,41
141,pellentesque viverra pede,108.74,vestibulum,73,98,43
142,bibendum morbi non quam nec dui,4.12,consectetuer,11,62,47
143,porttitor id consequat in,387.02,tincidunt,3,47,40
144,eget,119.46,ut,40,71,50
145,blandit nam nulla,304.17,penatibus,75,49,43
146,nec euismod scelerisque,22.88,in,50,70,16
147,morbi porttitor lorem id,258.43,elementum,1,9,44
148,id,385.13,aliquet,3,54,96
149,mi nulla ac,181.97,nulla,65,50,14
150,hac habitasse platea,3.18,dis,97,69,73
151,lectus in est,224.42,metus,63,55,83
152,consequat,165.61,etiam,71,35,84
153,id,228.39,lacus,8,16,17
154,felis donec semper sapien,365.83,dapibus,83,78,3
155,odio porttitor id consequat in consequat,339.34,lorem,77,96,95
156,volutpat in congue etiam justo etiam,142.7,bibendum,39,20,18
157,nulla nisl nunc,220.45,sit,57,27,16
158,at diam nam tristique tortor eu,391.99,sit,80,63,44
159,dui vel sem sed sagittis nam,235.27,donec,87,97,98
160,sodales sed tincidunt,84.39,lobortis,24,99,100
161,lectus aliquam sit amet diam,393.17,ante,23,50,60
162,tempus vel pede,2.13,euismod,80,80,52
163,luctus et,72.41,metus,69,18,55
164,eu tincidunt in leo maecenas,259.83,adipiscing,73,45,12
165,eget eleifend luctus ultricies eu nibh,20.09,erat,24,0,43
166,lacinia eget,27.01,blandit,73,93,25
167,suspendisse potenti nullam porttitor,358.53,porttitor,88,79,61
168,blandit ultrices enim lorem ipsum,192.72,molestie,62,12,15
169,a nibh,76.32,rhoncus,16,87,74
170,bibendum imperdiet nullam,71.86,erat,9,79,75
171,nec euismod scelerisque quam,186.05,congue,74,17,29
172,blandit lacinia,30.78,nunc,63,67,98
173,pulvinar nulla,91.8,magnis,7,45,86
174,in sapien iaculis congue,306.79,hac,42,43,67
175,massa id nisl venenatis lacinia,136.95,maecenas,93,72,46
176,venenatis,304.46,vitae,62,98,60
177,odio elementum eu interdum,289.92,ac,11,53,54
178,sapien varius,300.04,amet,63,49,68
179,augue a suscipit nulla,377.11,praesent,56,97,51
180,mattis egestas metus aenean,108.24,dolor,85,76,43
181,nascetur ridiculus mus vivamus,179.24,sapien,78,3,14
182,mi integer ac neque,312.13,magna,93,26,22
183,ullamcorper purus sit,67.27,aliquet,2,71,94
184,praesent lectus vestibulum quam,334.99,porta,76,5,84
185,vestibulum quam sapien varius ut,383.32,luctus,71,47,64
186,a feugiat et eros vestibulum ac,124.5,in,82,40,18
187,ultrices vel augue vestibulum ante ipsum,147.39,amet,85,69,2
188,vel augue vestibulum,48.68,lobortis,0,21,48
189,natoque penatibus et,271.66,ac,91,25,56
190,mi in porttitor pede justo eu,280.8,convallis,1,11,51
191,pede malesuada,112.48,hac,79,100,17
192,nonummy maecenas,328.32,diam,100,14,75
193,in lacus curabitur at,399.72,eu,63,32,91
194,mus etiam,32.49,eget,55,24,54
195,fusce lacus purus aliquet,87.11,ipsum,70,76,67
196,vulputate ut,339.84,convallis,72,99,42
197,ullamcorper purus sit amet,246.53,aenean,13,61,77
198,proin eu mi,109.25,vel,23,20,78
199,leo maecenas pulvinar lobortis est phasellus,101.79,volutpat,47,16,5
200,et ultrices posuere,22.88,venenatis,49,68,80
201,risus dapibus,181.11,in,8,82,93
202,vulputate ut ultrices vel,263.18,posuere,97,91,66
203,nulla eget eros,320.71,rutrum,53,83,78
204,turpis eget elit sodales scelerisque mauris,263.89,ac,61,67,25
205,sed sagittis nam congue risus semper,59.79,in,43,56,93
206,elit sodales scelerisque mauris,233.8,sit,58,15,75
207,maecenas pulvinar lobortis est phasellus,136.72,blandit,19,66,67
208,mi nulla ac enim in,161.41,aenean,76,92,99
209,justo,259.42,tortor,93,79,76
210,pulvinar nulla pede ullamcorper augue a,194.53,quisque,94,54,40
211,est donec odio justo sollicitudin,178.22,id,89,33,57
212,non ligula,175.47,cras,68,0,90
213,nisl nunc nisl duis,265.39,posuere,6,17,1
214,volutpat,167.67,duis,11,23,27
215,nunc viverra dapibus nulla suscipit,88.13,ipsum,54,11,95
216,odio donec vitae nisi nam,35.25,non,12,36,61
217,etiam justo etiam,103.96,dapibus,88,71,69
218,faucibus accumsan odio curabitur convallis duis,70.4,in,84,81,60
219,dolor quis odio consequat varius,338.68,a,11,41,66
220,ipsum dolor,209.56,orci,50,11,6
221,nam ultrices libero non,28.36,dolor,57,7,93
222,donec ut dolor morbi vel,264.44,nisl,32,67,96
223,ultrices enim lorem,16.61,a,56,4,83
224,gravida sem praesent,146.53,volutpat,51,42,83
225,posuere cubilia curae duis faucibus,61.84,etiam,83,40,6
226,amet turpis elementum ligula vehicula,35.7,congue,78,71,59
227,nam,171.1,pulvinar,0,70,38
228,tincidunt eget tempus vel pede,119.75,turpis,25,38,85
229,ut nunc vestibulum,387.6,nullam,96,87,69
230,quis justo maecenas,95.46,erat,34,53,20
231,interdum in ante vestibulum ante,38.68,justo,21,98,36
232,vel,78.57,dapibus,46,100,89
233,vel augue vestibulum ante,365.47,aliquam,86,20,72
234,vitae ipsum aliquam,102.94,magnis,39,14,44
235,orci nullam molestie nibh in lectus,318.46,aliquam,58,78,33
236,lobortis ligula sit amet eleifend,255.88,fusce,30,3,63
237,integer tincidunt ante vel ipsum,256.03,justo,36,66,69
238,ultrices vel augue,48.42,vestibulum,89,58,20
239,purus eu magna vulputate luctus cum,6.18,nulla,97,21,11
240,eget congue eget,204.7,ipsum,62,93,97
241,at,361.48,semper,80,20,23
242,ligula vehicula consequat morbi a ipsum,111.87,eu,98,9,63
243,quis justo maecenas rhoncus,4.44,elementum,73,94,64
244,volutpat in,378.2,libero,74,60,76
245,porttitor lacus,392.21,leo,28,96,32
246,posuere cubilia,310.95,leo,91,64,15
247,consequat,316.48,penatibus,21,80,71
248,volutpat eleifend donec,345.49,cursus,92,48,14
249,risus semper,155.79,congue,45,35,35
250,potenti in eleifend quam,27.82,ut,48,5,80
251,elementum,335.41,natoque,48,100,77
252,eu,55.29,tortor,33,29,51
253,non lectus,51.12,eget,15,55,29
254,tortor id nulla ultrices aliquet maecenas,393.2,placerat,79,41,5
255,habitasse platea dictumst maecenas ut massa,353.81,rhoncus,87,66,10
256,elit sodales scelerisque mauris sit amet,24.14,duis,0,67,57
257,vitae,159.11,ligula,59,11,53
258,laoreet ut rhoncus aliquet,266.32,leo,68,81,75
259,suspendisse,166.8,metus,16,82,84
260,nisl ut volutpat sapien arcu sed,119.51,condimentum,61,62,20
261,id mauris vulputate elementum nullam,145.33,in,5,39,40
262,lectus,288.08,sapien,91,87,41
263,curae mauris viverra,205.06,amet,28,60,69
264,at,147.46,et,75,6,13
265,luctus et ultrices posuere cubilia,205.05,amet,55,16,61
266,vitae,198.82,donec,77,45,78
267,nulla facilisi cras non velit,272.35,adipiscing,46,82,5
268,bibendum felis sed interdum venenatis turpis,246.86,lacinia,41,75,31
269,augue,76.8,in,15,75,60
270,id consequat in,373.18,volutpat,50,54,50
271,elit sodales,14.95,blandit,44,94,61
272,vestibulum velit id pretium iaculis,344.65,pharetra,65,69,66
273,elementum pellentesque,348.72,luctus,99,17,83
274,lectus pellentesque eget nunc,263.63,vel,49,42,51
275,vivamus in felis,213.58,nam,12,40,5
276,in faucibus orci,98.29,amet,86,93,54
277,nunc commodo placerat,320.72,hendrerit,46,71,58
278,ligula vehicula consequat morbi,246.7,at,34,50,27
279,augue,212.7,phasellus,27,34,91
280,quisque porta volutpat erat quisque,373.47,maecenas,94,65,10
281,massa quis augue,297.1,in,29,67,65
282,justo morbi ut odio cras,128.42,auctor,13,71,25
283,tortor eu,274.56,augue,90,54,25
284,suspendisse ornare consequat,53.71,nec,23,94,27
285,nec nisi volutpat eleifend,257.45,quis,95,15,87
286,donec semper,62.51,libero,87,22,51
287,diam in magna bibendum imperdiet nullam,380.42,sed,97,78,36
288,nulla suspendisse potenti,227.49,justo,44,28,33
289,eleifend luctus ultricies eu nibh,267.53,sapien,87,59,47
290,vehicula consequat,239.95,lobortis,80,47,25
291,consequat varius integer ac leo,67.67,ac,14,53,25
292,odio odio elementum eu interdum eu,310.33,pede,83,46,36
293,in,39.73,justo,23,88,35
294,tincidunt nulla mollis,251.64,pellentesque,12,70,16
295,vivamus tortor duis mattis,115.63,feugiat,74,62,97
296,nibh in,370.28,ac,98,69,5
297,ornare consequat,158.57,dui,98,0,44
298,vestibulum rutrum rutrum neque aenean,313.0,tortor,81,37,93
299,odio in hac habitasse,50.06,mollis,68,64,51
300,nunc donec,212.84,natoque,38,75,23
301,ligula sit amet eleifend pede,48.53,mauris,67,89,60
302,at turpis donec posuere metus,215.24,mattis,43,33,16
303,auctor,134.19,fusce,22,7,6
304,in est risus auctor sed,288.3,proin,5,92,22
305,arcu libero,206.28,maecenas,12,59,81
306,augue vestibulum ante ipsum primis,154.27,morbi,71,64,11
307,augue vestibulum rutrum rutrum neque,56.57,nec,91,14,36
308,nulla neque libero,247.69,scelerisque,74,41,35
309,ut volutpat sapien arcu,4.47,ridiculus,80,24,56
310,libero quis orci nullam molestie,132.59,pede,99,9,96
311,nec euismod scelerisque quam,381.89,posuere,94,93,22
312,nisl duis bibendum,275.61,lobortis,91,0,3
313,porta volutpat quam pede lobortis ligula,213.47,tortor,92,35,4
314,potenti nullam porttitor lacus,23.87,tincidunt,48,82,71
315,tincidunt lacus at velit vivamus vel,217.37,curae,53,49,87
316,sapien in sapien,8.05,mi,63,33,57
317,sit amet diam in magna bibendum,107.75,id,2,78,17
318,mattis nibh ligula nec sem,286.3,luctus,38,50,56
319,ac nulla sed vel,142.72,consequat,71,88,81
320,est risus auctor sed,385.35,nulla,24,46,73
321,sit amet lobortis sapien sapien non,173.84,in,31,34,70
322,quis,140.22,eu,52,67,66
323,ultrices vel augue vestibulum ante,19.42,orci,73,30,18
324,eget semper rutrum nulla nunc purus,12.27,ipsum,46,44,21
325,in,380.61,eget,2,38,29
326,volutpat eleifend,135.45,venenatis,16,8,56
327,ut,203.36,dis,66,21,56
328,in quis justo maecenas,164.06,lorem,13,84,11
329,vel,111.35,sollicitudin,66,83,33
330,vivamus metus arcu adipiscing molestie hendrerit,38.08,fusce,3,55,54
331,natoque,221.48,tincidunt,61,43,66
332,luctus rutrum nulla tellus in,376.52,metus,60,38,10
333,viverra pede ac diam cras,302.26,platea,79,50,55
334,bibendum morbi non quam nec dui,108.97,aliquet,16,61,43
335,felis donec,115.49,in,79,67,10
336,curabitur gravida nisi at nibh in,338.69,cubilia,77,83,29
337,ut nulla sed accumsan felis ut,357.49,vestibulum,38,61,43
338,quam pharetra,29.13,ac,93,32,7
339,adipiscing molestie hendrerit,299.81,iaculis,25,90,30
340,tempor convallis nulla,104.18,integer,14,97,23
341,turpis eget elit sodales,252.18,id,13,85,48
342,sed tincidunt eu felis fusce posuere,387.99,consequat,84,54,81
343,malesuada in imperdiet et commodo vulputate,79.1,lacus,79,98,55
344,habitasse platea dictumst morbi vestibulum velit,315.72,porttitor,81,0,97
345,augue,106.47,volutpat,100,0,64
346,accumsan tellus nisi eu orci mauris,397.01,non,27,90,61
347,integer aliquet massa id,186.31,vestibulum,86,99,78
348,integer aliquet,171.4,ultrices,26,61,68
349,sagittis sapien,64.01,urna,53,59,56
350,ut erat curabitur gravida nisi,374.83,non,54,58,27
351,id consequat in consequat,192.97,ipsum,14,2,84
352,diam vitae quam suspendisse,55.04,est,40,88,10
353,lacus at,124.86,non,30,87,4
354,vel dapibus at,301.26,nisi,21,4,3
355,eget tempus vel pede morbi porttitor,353.39,nisl,97,6,63
356,eu nibh quisque,69.54,mauris,15,32,71
357,mauris morbi non lectus,220.2,nunc,38,93,92
358,in,180.4,vel,100,72,81
359,placerat,252.77,auctor,99,99,3
360,in blandit,128.81,luctus,66,8,66
361,at feugiat non pretium quis,311.9,faucibus,75,12,44
362,neque sapien placerat,192.36,diam,74,32,53
363,eleifend quam,182.09,amet,86,9,88
364,in sagittis,223.13,est,89,24,37
365,quisque porta volutpat,58.52,lorem,70,36,22
366,cursus vestibulum proin eu,297.99,tincidunt,22,5,28
367,leo odio porttitor,230.11,vivamus,44,74,89
368,mi in porttitor,372.69,ipsum,74,89,32
369,donec,210.26,pretium,4,68,5
370,varius,349.16,fermentum,41,40,70
371,volutpat convallis morbi odio,170.63,arcu,2,95,68
372,praesent lectus vestibulum,244.32,et,50,34,57
373,pretium iaculis diam,210.85,posuere,54,34,50
374,quis,43.12,pede,87,38,36
375,adipiscing elit proin interdum,159.26,diam,91,43,14
376,mauris eget massa,98.92,in,88,23,5
377,dolor quis,376.03,a,99,59,41
378,sapien urna pretium,316.68,blandit,25,36,63
379,rutrum at lorem integer tincidunt,366.46,dapibus,44,70,76
380,eros suspendisse accumsan tortor quis,179.44,nascetur,65,40,76
381,non,311.14,mauris,84,66,12
382,phasellus in felis,128.4,nec,94,42,36
383,nunc proin at turpis,144.83,platea,90,83,71
384,mauris vulputate elementum nullam varius,254.18,faucibus,85,3,49
385,vulputate,95.98,vulputate,49,72,33
386,sollicitudin mi,150.7,primis,41,68,96
387,lacinia aenean sit amet,360.8,vulputate,31,32,45
388,libero,322.95,donec,16,89,83
389,praesent blandit lacinia erat vestibulum sed,327.25,a,66,17,14
390,tempus vel pede morbi,59.31,odio,80,100,36
391,nam ultrices libero non mattis pulvinar,243.65,donec,62,29,40
392,libero non mattis pulvinar nulla,385.8,condimentum,29,29,66
393,imperdiet nullam orci pede venenatis,318.51,dui,76,94,67
394,lacus morbi,108.76,at,0,32,80
395,luctus nec molestie sed justo pellentesque,49.6,morbi,67,31,86
396,neque vestibulum,306.25,mauris,6,22,100
397,vestibulum sed magna at,72.13,id,37,48,78
398,diam,258.6,euismod,71,98,46
399,vestibulum proin,226.22,est,13,28,83
400,egestas metus aenean,50.14,mauris,7,10,15
401,aenean auctor,318.08,a,67,33,23
402,consequat metus sapien,52.86,erat,8,70,38
403,at turpis a pede,256.14,aenean,88,95,62
404,primis,337.34,luctus,74,35,85
405,neque aenean auctor gravida sem,218.0,morbi,9,29,43
406,diam nam,79.22,ipsum,62,85,11
407,aliquam,287.44,metus,33,13,42
408,posuere cubilia curae duis faucibus accumsan,104.11,amet,3,1,7
409,non sodales sed tincidunt eu felis,54.17,porta,98,77,25
410,rutrum nulla,175.92,venenatis,76,5,83
411,pretium,136.62,turpis,38,20,88
412,eget,250.63,orci,97,45,66
413,eros elementum pellentesque,144.15,sapien,43,76,72
414,vestibulum,264.24,tempus,25,4,7
415,justo nec condimentum,191.63,lacinia,62,97,9
416,leo rhoncus sed vestibulum sit amet,342.99,ullamcorper,80,92,86
417,eleifend,226.69,duis,9,69,74
418,id pretium iaculis diam erat fermentum,296.03,enim,26,9,52
419,lobortis est,394.52,pede,88,94,89
420,mattis,152.5,orci,12,92,23
421,ante ipsum primis in faucibus,350.7,eu,12,89,34
422,quam turpis adipiscing lorem vitae mattis,193.21,feugiat,7,44,18
423,ullamcorper purus,191.07,eget,86,65,9
424,nulla ultrices aliquet maecenas,72.05,ligula,90,22,18
425,sed,205.92,ullamcorper,22,53,33
426,integer aliquet massa id,61.83,dui,70,30,79
427,feugiat et eros,219.3,habitasse,6,47,81
428,id,53.85,vulputate,78,74,39
429,venenatis,359.61,iaculis,42,96,12
430,sapien ut nunc vestibulum ante ipsum,17.9,eget,13,2,83
431,lacus,39.41,massa,48,35,55
432,metus sapien ut nunc vestibulum,4.1,nulla,38,48,95
433,praesent blandit lacinia erat vestibulum,340.02,odio,27,92,46
434,at vulputate vitae nisl aenean lectus,264.03,curabitur,40,18,85
435,at ipsum ac,398.76,egestas,58,81,15
436,et ultrices posuere cubilia,209.37,at,45,26,73
437,amet consectetuer adipiscing,77.32,mauris,54,46,62
438,convallis nulla neque libero,391.88,semper,49,48,6
439,in lectus,112.92,nisl,98,20,46
440,semper porta volutpat quam pede lobortis,348.16,pede,56,71,70
441,in,286.72,pretium,57,24,78
442,ultrices posuere cubilia curae,317.45,dapibus,17,39,39
443,erat volutpat in congue etiam justo,88.83,placerat,88,86,96
444,aliquam convallis,330.28,nec,90,51,53
445,nullam porttitor lacus at,307.89,dolor,74,56,82
446,turpis nec,292.89,tempus,44,94,44
447,volutpat convallis morbi,328.9,luctus,4,53,53
448,consequat varius integer ac leo pellentesque,149.92,consectetuer,52,60,28
449,nulla integer,358.56,sollicitudin,83,54,67
450,sagittis dui vel nisl duis ac,72.55,lacinia,45,45,58
451,sed,226.28,lobortis,15,45,3
452,in quis justo,27.96,pede,32,21,42
453,lacinia nisi,140.93,nulla,8,28,42
454,dapibus at diam nam tristique tortor,168.78,arcu,95,7,72
455,cubilia curae donec pharetra magna vestibulum,240.5,felis,69,31,66
456,in sagittis,299.03,curae,89,67,44
457,est quam pharetra magna ac consequat,374.45,lacinia,60,39,19
458,dolor morbi vel,355.57,sed,0,65,2
459,tristique,251.83,leo,77,83,97
460,placerat praesent blandit nam nulla,17.84,nulla,23,82,2
461,vulputate justo in blandit ultrices enim,87.19,in,89,98,45
462,in quis justo maecenas rhoncus,158.64,libero,72,76,27
463,volutpat eleifend donec ut dolor morbi,26.13,venenatis,84,98,1
464,metus arcu adipiscing molestie hendrerit at,398.79,auctor,58,35,77
465,ultrices enim lorem,226.3,nascetur,32,76,11
466,neque,301.78,nullam,15,27,2
467,eu magna vulputate luctus cum sociis,289.7,in,15,42,25
468,vel,377.95,a,49,54,76
469,risus praesent lectus vestibulum quam sapien,164.51,sapien,78,82,8
470,congue risus semper,242.16,magnis,70,11,31
471,libero convallis eget eleifend luctus,147.49,at,22,31,61
472,curabitur convallis,163.02,ligula,19,35,74
473,semper rutrum nulla nunc purus,66.05,nulla,2,92,46
474,proin risus praesent lectus vestibulum,3.38,nulla,87,53,48
475,pellentesque eget,78.9,morbi,81,80,42
476,interdum in ante vestibulum ante ipsum,209.96,turpis,12,96,69
477,tellus in sagittis,381.94,semper,19,91,21
478,adipiscing elit proin,62.63,leo,53,50,73
479,mus vivamus vestibulum sagittis,251.04,morbi,48,3,1
480,cubilia curae,277.05,vel,71,99,47
481,morbi,166.14,nullam,96,63,96
482,in faucibus orci luctus et,13.15,augue,24,34,21
483,ipsum,182.93,at,39,67,42
484,sit amet lobortis sapien,272.13,proin,78,30,63
485,nulla dapibus,385.3,vestibulum,83,68,16
486,venenatis non,54.79,non,86,14,76
487,lacinia sapien quis libero,64.23,eu,8,84,72
488,consequat morbi,109.62,leo,70,10,52
489,potenti in eleifend quam,84.9,donec,75,7,12
490,quis libero nullam sit,155.42,a,23,64,16
491,duis at velit eu est congue,222.4,magna,5,5,28
492,duis ac,347.78,nisl,49,75,81
493,neque vestibulum eget vulputate ut,133.96,vehicula,26,19,94
494,vel accumsan,388.57,ultrices,33,10,57
495,amet cursus id turpis integer aliquet,38.94,lacus,13,86,60
496,pulvinar sed nisl nunc rhoncus dui,123.34,vel,19,96,9
497,id justo sit amet sapien dignissim,234.68,quisque,71,75,72
498,dapibus duis at velit,88.49,aliquet,2,16,68
499,ipsum primis in faucibus orci,125.18,habitasse,98,62,22
500,amet lobortis sapien sapien,397.83,neque,35,58,21
501,non quam,231.73,etiam,5,86,73
502,diam,276.48,adipiscing,11,82,70
503,mi sit amet lobortis,233.79,ut,6,36,93
504,luctus et ultrices posuere,322.94,ultrices,69,56,68
505,elit proin,294.68,sagittis,9,7,28
506,tortor quis turpis sed ante vivamus,178.92,vel,26,79,70
507,leo pellentesque ultrices mattis odio,121.21,lorem,16,62,16
508,ut at dolor,82.28,ullamcorper,91,35,9
509,lacinia aenean,118.44,ut,21,85,66
510,volutpat quam pede lobortis,332.51,ante,37,20,83
511,diam erat fermentum justo,307.71,donec,72,1,85
512,varius nulla facilisi cras non velit,341.89,lacus,53,63,1
513,quis orci eget orci vehicula condimentum,355.87,justo,4,0,79
514,vestibulum vestibulum,224.94,donec,39,67,95
515,ac diam cras,141.76,est,4,91,58
516,ligula sit amet eleifend pede,120.35,ridiculus,71,82,91
517,sit,159.54,lobortis,59,21,75
518,orci,36.48,ultrices,44,91,90
519,turpis integer aliquet,143.64,euismod,41,34,62
520,lacus morbi sem mauris laoreet ut,308.41,orci,37,9,12
521,cras mi pede malesuada in imperdiet,346.5,amet,74,11,21
522,ipsum primis in faucibus,377.06,non,8,10,60
523,vel dapibus at diam nam tristique,106.47,at,13,13,16
524,primis in faucibus,197.29,donec,79,67,48
525,cursus,15.44,pulvinar,49,87,92
